X;min;mean;max;date
335;38;43;48;2013-12-01
336;41;44;52;2013-12-02
337;33;37;43;2013-12-03
338;26;34;43;2013-12-04
339;24;35;47;2013-12-05
340;23;38;52;2013-12-06
341;29;35;39;2013-12-07
342;17;29;42;2013-12-08
343;25;36;48;2013-12-09
344;34;42;52;2013-12-10
345;23;34;44;2013-12-11
346;23;34;45;2013-12-12
347;24;36;49;2013-12-13
348;26;36;49;2013-12-14
349;24;35;47;2013-12-15
350;28;35;42;2013-12-16
351;26;34;44;2013-12-17
352;21;32;43;2013-12-18
353;21;33;45;2013-12-19
354;23;34;46;2013-12-20
355;23;34;46;2013-12-21
356;21;34;47;2013-12-22
357;26;35;44;2013-12-23
358;27;34;42;2013-12-24
359;33;38;44;2013-12-25
360;35;41;47;2013-12-26
361;41;44;47;2013-12-27
362;33;42;52;2013-12-28
363;33;38;43;2013-12-29
364;33;37;41;2013-12-30
365;32;38;45;2013-12-31
366;39;42;45;2014-01-01
367;32;40;48;2014-01-02
368;30;38;46;2014-01-03
369;32;36;41;2014-01-04
370;37;44;50;2014-01-05
371;43;48;52;2014-01-06
372;32;41;49;2014-01-07
373;33;36;40;2014-01-08
374;30;35;41;2014-01-09
375;34;40;46;2014-01-10
376;32;37;43;2014-01-11
377;34;38;41;2014-01-12
378;30;35;42;2014-01-13
379;30;38;47;2014-01-14
380;40;42;45;2014-01-15
381;39;44;50;2014-01-16
382;30;40;50;2014-01-17
383;30;40;50;2014-01-18
384;33;42;52;2014-01-19
385;45;50;57;2014-01-20
386;42;45;50;2014-01-21
387;42;44;49;2014-01-22
388;39;42;48;2014-01-23
389;36;42;49;2014-01-24
390;36;41;48;2014-01-25
391;26;30;35;2014-01-26
392;19;26;36;2014-01-27
393;28;33;39;2014-01-28
394;32;39;47;2014-01-29
395;29;38;48;2014-01-30
396;37;42;49;2014-01-31
397;37;40;45;2014-02-01
398;36;38;44;2014-02-02
399;33;38;45;2014-02-03
400;32;36;40;2014-02-04
401;34;39;47;2014-02-05
402;35;38;41;2014-02-06
403;33;42;50;2014-02-07
404;32;40;49;2014-02-08
405;42;47;52;2014-02-09
406;39;46;56;2014-02-10
407;35;48;61;2014-02-11
408;45;48;56;2014-02-12
409;37;44;53;2014-02-13
410;32;39;48;2014-02-14
411;33;40;50;2014-02-15
412;28;40;56;2014-02-16
413;33;48;63;2014-02-17
414;33;45;60;2014-02-18
415;35;50;64;2014-02-19
416;33;44;56;2014-02-20
417;37;46;54;2014-02-21
418;40;45;52;2014-02-22
419;33;43;55;2014-02-23
420;40;44;49;2014-02-24
421;32;40;49;2014-02-25
422;31;42;56;2014-02-26
423;31;41;53;2014-02-27
424;32;40;50;2014-02-28
425;36;42;48;2014-03-01
426;37;41;46;2014-03-02
427;33;41;50;2014-03-03
428;32;41;51;2014-03-04
429;35;44;55;2014-03-05
430;39;45;55;2014-03-06
431;40;45;51;2014-03-07
432;41;47;55;2014-03-08
433;39;45;52;2014-03-09
434;34;40;48;2014-03-10
435;32;39;47;2014-03-11
436;30;42;55;2014-03-12
437;32;44;57;2014-03-13
438;32;44;59;2014-03-14
439;35;49;64;2014-03-15
440;35;46;58;2014-03-16
441;37;48;61;2014-03-17
442;44;54;67;2014-03-18
443;39;54;69;2014-03-19
444;37;50;63;2014-03-20
445;38;50;64;2014-03-21
446;39;50;62;2014-03-22
447;38;52;67;2014-03-23
448;40;49;59;2014-03-24
449;33;40;52;2014-03-25
450;36;40;46;2014-03-26
451;37;46;54;2014-03-27
452;33;40;46;2014-03-28
453;39;50;63;2014-03-29
454;38;50;62;2014-03-30
455;31;46;64;2014-03-31
456;31;48;66;2014-04-01
457;37;50;64;2014-04-02
458;42;54;67;2014-04-03
459;40;51;62;2014-04-04
460;48;58;68;2014-04-05
461;47;54;60;2014-04-06
462;47;56;66;2014-04-07
463;41;53;65;2014-04-08
